opcode,candidate,evidence_status,receiver_handled,receiver_target_va,family,record_count,recording_count,payload_length_histogram,static_copy_bytes,request_payload_bytes,formatter_payload_bytes,field_evidence,unresolved,validation_plan_id,offline_next,runtime_scenario,negative_control,pass_criterion,source_evidence
0x03ef,ActionStartMatch,클래스명 연결,True,004d15db,경기·시계·튜토리얼·통계,51,51,"{""6"": 51}",1,,1,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,수신·큐 적용·경기 상태·화면 표시·최종 집계 고정은 별개이며 outer timestamp는 UI 시계가 아님,V08,상태 getter/setter·queue·reason 분기와 이름이 있는 소비 경로를 추적한다. 같은 시각 후속 연산과 지원되지 않는 시계를 보존한다.,대상 ActionStartMatch: 시작·준비·관전자 전환·튜토리얼 상태를 분리하고 정상 비항복 종료와 항복 종료를 각각 기록한다. 종료 직전 전투와 최종 화면도 함께 확보한다.,"종료 전 비슷한 시각의 대기, 무시/실패 reason, 지원되지 않는 모드와 시계 정지·재개를 대조한다.",해당 상태와 표시가 일치하고 동시각 후속 점수를 보존한다. 결과 화면으로 최종 수치를 확인하기 전 완료/보정 기준으로 승격하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03ef)
0x03f0,ActionShowMatchPrepSequence,클래스명 연결,True,004d1611,경기·시계·튜토리얼·통계,0,0,{},1,,1,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,수신·큐 적용·경기 상태·화면 표시·최종 집계 고정은 별개이며 outer timestamp는 UI 시계가 아님,V08,상태 getter/setter·queue·reason 분기와 이름이 있는 소비 경로를 추적한다. 같은 시각 후속 연산과 지원되지 않는 시계를 보존한다.,대상 ActionShowMatchPrepSequence: 시작·준비·관전자 전환·튜토리얼 상태를 분리하고 정상 비항복 종료와 항복 종료를 각각 기록한다. 종료 직전 전투와 최종 화면도 함께 확보한다.,"종료 전 비슷한 시각의 대기, 무시/실패 reason, 지원되지 않는 모드와 시계 정지·재개를 대조한다.",해당 상태와 표시가 일치하고 동시각 후속 점수를 보존한다. 결과 화면으로 최종 수치를 확인하기 전 완료/보정 기준으로 승격하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03f0)
0x03f1,ActionEndMatch,클래스명 연결,True,004d1647,경기·시계·튜토리얼·통계,55,55,"{""6"": 55}",5,,,"첫 BE32의 하위1B 승리 팀, +4 reason; reason2=surrender. 큐 액션",reason0을 자동으로 크리스탈 파괴라 하지 않음. 실제 종료·최종 화면 시점은 별도 확인,V08,상태 getter/setter·queue·reason 분기와 이름이 있는 소비 경로를 추적한다. 같은 시각 후속 연산과 지원되지 않는 시계를 보존한다.,대상 ActionEndMatch: 시작·준비·관전자 전환·튜토리얼 상태를 분리하고 정상 비항복 종료와 항복 종료를 각각 기록한다. 종료 직전 전투와 최종 화면도 함께 확보한다.,"종료 전 비슷한 시각의 대기, 무시/실패 reason, 지원되지 않는 모드와 시계 정지·재개를 대조한다.",해당 상태와 표시가 일치하고 동시각 후속 점수를 보존한다. 결과 화면으로 최종 수치를 확인하기 전 완료/보정 기준으로 승격하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03f1)
0x03f2,ActionEntitySpawn,클래스명 연결,True,004d1693,개체 생명주기,926602,56,"{""122"": 804425, ""126"": 122177}",122,,,개체 생성 자료를 읽고 ActionEntitySpawn 생성,"section 재전송과 신규 spawn, 정의 ID·팀·좌표와 122/126B 변형을 구별해야 함",V01,해당 클래스 생성자→apply의 ID 조회와 상태 전이를 추적하고 이전 spawn 정의·ID 수명·후속 snapshot을 연결한다.,대상 ActionEntitySpawn: 영웅과 미니언 각각 생성→사망→소멸→부활/재생성을 기록하고 부활 시 조작 가능 시점을 별도 표시한다.,살아 있는 효과 개체의 정상 제거와 section 경계 snapshot 재전송을 대조한다.,"대상 ID와 실제 생명주기 단계가 일치하며 snapshot 반복을 신규 생성으로, 제거를 처치로 오인하지 않는다.",vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03f2)
0x03f3,ActionHeroSpawn,클래스명 연결,True,004d1a94,개체 생명주기,75316,56,"{""746"": 74802, ""750"": 514}",746,,,영웅 초기 상태/스냅샷; helper를 거쳐 ActionHeroSpawn,"746/750B 변형과 빌드 대응, 반복 snapshot과 실제 영웅 생성/부활의 구별이 필요함",V01,해당 클래스 생성자→apply의 ID 조회와 상태 전이를 추적하고 이전 spawn 정의·ID 수명·후속 snapshot을 연결한다.,대상 ActionHeroSpawn: 영웅과 미니언 각각 생성→사망→소멸→부활/재생성을 기록하고 부활 시 조작 가능 시점을 별도 표시한다.,살아 있는 효과 개체의 정상 제거와 section 경계 snapshot 재전송을 대조한다.,"대상 ID와 실제 생명주기 단계가 일치하며 snapshot 반복을 신규 생성으로, 제거를 처치로 오인하지 않는다.",vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03f3)
0x03f4,ActionRequestMoveTo_Client,요청 직렬화 클래스 연결,False,,이동·방향·위치,0,0,{},,8,8,요청 formatter의 opcode 상수와 직렬화 payload 길이 확인: 8B. 바깥 VGR framing과 구별,요청 생성/전송과 서버 수락·실제 행동 성공은 별개. 변형 조건: object+0x1d == 0 and object+0x1c == 0,V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,대상 ActionRequestMoveTo_Client: 정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다. 실제 송신 bytes와 수신/리플레이 방향을 독립 확인한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03f4)
0x03f5,ActionRequestMoveTo_Client,요청 직렬화 클래스 연결,False,,이동·방향·위치,0,0,{},,8,8,요청 formatter의 opcode 상수와 직렬화 payload 길이 확인: 8B. 바깥 VGR framing과 구별,요청 생성/전송과 서버 수락·실제 행동 성공은 별개. 변형 조건: object+0x1d == 0 and object+0x1c != 0,V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,대상 ActionRequestMoveTo_Client: 정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다. 실제 송신 bytes와 수신/리플레이 방향을 독립 확인한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03f5)
0x03f6,ActionRequestMoveTo_Client,요청 직렬화 클래스 연결,False,,이동·방향·위치,0,0,{},,8,8,요청 formatter의 opcode 상수와 직렬화 payload 길이 확인: 8B. 바깥 VGR framing과 구별,요청 생성/전송과 서버 수락·실제 행동 성공은 별개. 변형 조건: object+0x1d != 0,V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,대상 ActionRequestMoveTo_Client: 정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다. 실제 송신 bytes와 수신/리플레이 방향을 독립 확인한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03f6)
0x03f8,ActionMoveTo,클래스명 연결,True,004d03f3,이동·방향·위치,4949279,56,"{""9"": 236343, ""14"": 4712936}",9,,9,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,"현재 위치·목적지·보정 위치·효과 위치, 축·단위·지속시간을 구별해야 함",V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,대상 ActionMoveTo: 정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03f8)
0x03f9,ActionMoveToServerAuthoritative,클래스명 연결,True,004d0fb3,이동·방향·위치,151463,54,"{""14"": 151463}",14,,14,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,"현재 위치·목적지·보정 위치·효과 위치, 축·단위·지속시간을 구별해야 함",V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,대상 ActionMoveToServerAuthoritative: 정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03f9)
0x03fa,ActionMoveToAndFace,클래스명 연결,True,004d0499,이동·방향·위치,197182,54,"{""22"": 197182}",20,,20,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,"현재 위치·목적지·보정 위치·효과 위치, 축·단위·지속시간을 구별해야 함",V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,대상 ActionMoveToAndFace: 정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03fa)
0x03fb,ActionStopActor,클래스명 연결,True,004d1070,이동·방향·위치,188017,54,"{""22"": 188017}",17,,17,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,"현재 위치·목적지·보정 위치·효과 위치, 축·단위·지속시간을 구별해야 함",V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,대상 ActionStopActor: 정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03fb)
0x03fc,ActionResetMovement_Client,클래스명 연결,True,004d112d,이동·방향·위치,0,0,{},17,,,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,"현재 위치·목적지·보정 위치·효과 위치, 축·단위·지속시간을 구별해야 함",V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,대상 ActionResetMovement_Client: 정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03fc)
0x03fd,ActionMoveToPredictive_Client,클래스명 연결,True,004d055a,이동·방향·위치,0,0,{},9,,,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,"현재 위치·목적지·보정 위치·효과 위치, 축·단위·지속시간을 구별해야 함",V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,대상 ActionMoveToPredictive_Client: 정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03fd)
0x03fe,ActionMoveToAuthoritative_Client,클래스명 연결,True,004d05e4,이동·방향·위치,0,0,{},17,,,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,"현재 위치·목적지·보정 위치·효과 위치, 축·단위·지속시간을 구별해야 함",V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,대상 ActionMoveToAuthoritative_Client: 정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03fe)
0x03ff,ActionStopAuthoritative_Client,클래스명 연결,True,004d06a9,이동·방향·위치,0,0,{},10,,,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,"현재 위치·목적지·보정 위치·효과 위치, 축·단위·지속시간을 구별해야 함",V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,대상 ActionStopAuthoritative_Client: 정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03ff)
0x0400,ActionStopNavigating_Client,클래스명 연결,True,004d0732,이동·방향·위치,0,0,{},9,,,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,"현재 위치·목적지·보정 위치·효과 위치, 축·단위·지속시간을 구별해야 함",V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,대상 ActionStopNavigating_Client: 정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x0400)
0x0401,ActionFaceDir,클래스명 연결,True,004d07b0,이동·방향·위치,1667,54,"{""22"": 1667}",16,,16,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,"현재 위치·목적지·보정 위치·효과 위치, 축·단위·지속시간을 구별해야 함",V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,대상 ActionFaceDir: 정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x0401)
0x0402,ActionAutoActorBounce,클래스명 연결,True,004d085e,이동·방향·위치,6884,49,"{""22"": 6884}",16,,16,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,"현재 위치·목적지·보정 위치·효과 위치, 축·단위·지속시간을 구별해야 함",V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,대상 ActionAutoActorBounce: 정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x0402)
0x0403,ActionAutoMoveTo,클래스명 연결,True,004d08f4,이동·방향·위치,34973,54,"{""22"": 34973}",21,,21,ActionAutoMoveTo; 위치형 float가 있어도 현재 위치로 단정하지 않음,이동 목적지·시간 계수와 현재 위치를 구별하고 기존 cooldown 추정을 사용하지 않음,V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,대상 ActionAutoMoveTo: 정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x0403)
0x0404,ActionAutoMoveToActorResponse,클래스명 연결,True,004d09d5,이동·방향·위치,789,14,"{""22"": 789}",15,,,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,"현재 위치·목적지·보정 위치·효과 위치, 축·단위·지속시간을 구별해야 함",V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,대상 ActionAutoMoveToActorResponse: 정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x0404)
